,specialname,playcount,collectcount,publishtime,username
0,欧美 | 旧曲重拾，记忆里的憧憬,672953,763,2022-01-25,风花雪夜
1,粤怀旧丨岁月如歌笑看往事,3819984,1438,2022-01-25,陳翊希
2,70后老情歌 │ 时间考验着旧日故事,24926423,13207,2022-01-11,惜缘
3,『想念』烟雨濛濛，寄相思风雨中,2800952,1303,2022-01-11,桔梗
4,品味粤语经典：留住荏苒旧时光,2869293,1259,2022-01-11,尼斯
5,国语：老歌如酒，恰似你的温柔,4180483,2108,2022-01-11,笑看风云
6,往昔回忆涌上心头，浪漫经典无法释怀,5225484,1816,2022-01-06,稀释的鱼
7,80情怀：怪你过分美丽，怪我过分着迷,3630101,1821,2022-01-06,排骨捞
8,「欧美经典」感受时光从耳边划过,237650,206,2022-01-03,不朽的神话
9,【英文经典】熟悉的旋律回响耳畔,1222956,1077,2022-01-03,不朽的神话
10,经典英文歌｜这些歌是否会勾起你的回忆？,587431,592,2022-01-03,苦咖啡
11,「品味金典」回忆里的粤语经典,4192137,2030,2022-01-03,晚荌吻
12,粤语金曲 | 唱响逝去的惊艳岁月,1965895,958,2022-01-03,北飞海盗
13,国语经典｜沉淀了一份岁月的味道,18681237,7550,2022-01-03,大漠丽影
14,国语记事本：回到那个怀念的温柔岁月,3772338,1662,2022-01-03,小方寸
15,情歌传唱：打开80后的念旧心结,6104274,2101,2021-12-31,冰蓝胭脂
16,80后的深情：最远的你是我最近的爱,3716672,1278,2021-12-28,四裤全输
17,粤语经典：这些歌！单曲循环百听不厌,7151470,2531,2021-12-28,鹏鹏
18,【怀旧经典】在留声机中的独家粤语记忆,8519464,2833,2021-12-28,倾心红尘
19,经典之声：有一种回忆，温柔了岁月,2725703,830,2021-12-01,醉狼
20,追忆金曲 | 细细倾听，品味人生百味,2683030,1055,2021-12-01,龙女神话
21,芳华时光：70后的青涩爱情,4833394,2132,2021-12-01,小光头
22,国语回忆篇：谁曾惊艳了你的时光呐,5879319,2201,2021-12-01,夜雪如思
23,回味经典，有多少爱可以重来？,217578,2297,2021-12-01,新蚊连啵
24,似水年华 | 听一首老歌，想念一段时光,1206908,538,2021-12-01,花香儿
25,港风袭来丨怀旧经典，岁粤留声机,1610408,614,2021-12-01,示申
26,【情歌留声机】经典旋律留下的记忆,5206303,1704,2021-11-01,我是富翁啊
27,80经典情歌｜细诉爱情的模样,13707333,4189,2021-11-01,地雷
28,国语经典｜沉淀了一份岁月的味道,3245731,1265,2021-11-01,大头
29,国语经典丨这些情歌又老了一岁,3217170,1077,2021-11-01,椅子
30,芬芳馥郁｜时代记忆中的欧美金曲,103015,131,2021-11-01,流川
31,【欧美经典】镌刻在回忆里的旋律,131932,169,2021-11-01,潇湘雨
32,经典粤语：回忆越来越远的青春,1300897,487,2021-11-01,孤山
33,英文经典：老歌如酒，发酵悠悠岁月,654438,839,2021-10-08,韩家三少
34,80后情歌 | 篆刻在记忆里的青春,106311961,39970,2021-10-01,欠你幸福
35,英文经典: 岁月淘洗过的悠悠旋律,425752,391,2021-10-01,踏浪
36,聆听欧美不朽经典，品味岁月馥郁芬芳,841542,1452,2021-10-01,纯么
37,欧美经典旋律：翻开记忆的角落,150492,175,2021-10-01,橴橴
38,【经典国语】好歌如酒，愈久越芬芳,1685484,877,2021-10-01,野蛮宝贝
39,国语老歌 | 时光流逝，经典不朽,5343541,2151,2021-09-28,吾亦道
40,【回忆金曲】70后麦霸爸妈KTV必点,2935879,2212,2021-09-27,大熊喵
41,摇滚经典：超越平凡，怒放生命,984837,604,2021-09-27,风雪夜归人
42,【粤语怀旧】唤醒70后的经典旋律,4526704,1859,2021-09-25,断弦
43,【时光经典】莫名我就喜欢你，深深地爱上你,1066829,376,2021-09-25,龙之传人
44,华语金曲：世界浮动不安，我们等爱沸腾,404763,214,2021-09-25,风云一片
45,时光沉淀 | 经典至上，粤听粤怀念,1335377,708,2021-09-25,梦槿
46,记忆之声：70年代流行经典旋律,1746491,1077,2021-09-25,梦颜Amor°
47,怀旧：听经典老歌，感似水流年,2829098,2632,2021-09-25,滹匫
48,唤醒旧梦：思念如影随形，无声无息,529004,170,2021-09-24,残梦紫月
49,国语金曲 | 人生苦短，何不为爱痴狂,5415621,1476,2021-09-24,海洋之心
50,时光荏苒 | 不被遗忘的国语流行经典,221321,86,2021-09-24,禁止
51,国语怀旧 | 当你孤单你会想起谁,268497,153,2021-09-24,柯岩
52,【国语老歌】绕耳余音重温旧时光,424063,192,2021-09-24,紫水晶
53,经典老歌：曾经随风吹云散，期盼却朝朝暮暮,7630123,2571,2021-09-24,依旧ˇ倾心
54,「知味沧桑」付出太多得到太少,322660,191,2021-09-23,明若晓溪
55,「国语怀旧」历经岁月才能体会,1321403,387,2021-09-23,飞天神龙
56,国语情怀｜浩瀚星辰伴你渡时光,266156,174,2021-09-23,感觉
57,【粤来香】甘醇似酒，韵味无穷尽,848041,485,2021-09-23,龙叶剑鹤
58,往事醉人｜带你回到老歌时代,1048665,797,2021-09-23,当风筝恋上风
59,印度电影｜忘不了的宝莱坞异域风情,87100,243,2021-09-21,寂寞的幽酪
60,时光留声机：听不完的老歌，做不完的青春梦,8104318,3207,2021-09-21,恺撒帝
61,粤语老歌 | 来一沓陈酿港风金曲,2115889,804,2021-09-21,雨朦朦
62,国语老歌 | 带回风华正茂的青春,2963133,1441,2021-09-21,沉世美
63,粤语经典｜在留声机中的独家记忆,1444471,586,2021-09-21,残萧
64,经典唱片｜心结难解，被唤醒的旧梦,691334,648,2021-09-21,真爱
65,国语经典｜流年与时光的沉淀,2317390,1196,2021-09-21,椅子
66,重温经典｜青春的记忆在时光中沉淀,650577,367,2021-09-20,宝军
67,时光金曲：在万丈红尘中化成了永恒,865983,310,2021-09-20,潇湘烟雨
68,"怀旧粤语丨摊开岁月,邂逅斜阳",2508280,1157,2021-09-20,不要欺负我
69,经典闽南语：青春是个短暂的美梦,3780713,1781,2021-09-14,￡梦醒￡
70,车载金曲：聆听港乐，记录大地风霜,8041085,4274,2021-09-13,君临天下
71,林忆莲丨时代歌星，一代佳音,617977,792,2021-09-10,日照影山
72,赐我一意孤行执迷不悔的孤勇,271630,580,2021-09-10,官方茶话会督导员
73,情怀贩卖 | 岁月研磨出的旋律,7593826,2023,2021-09-10,愛憐
74,动情老歌：怀旧卡带机中的回忆,8368490,2569,2021-09-09,终结者
75,粤语经典电台丨点一首歌送给爸妈,7372826,3231,2021-09-08,天使的眼泪
76,经典粤曲｜青春已逝，芳华依旧,2208622,1251,2021-09-08,烨＆锦麟ι
77,【每周臻享】Beyond经典HiFi曲目,259312,468,2021-09-03,日照影山
78,宝丽金黄金时代精品典藏,724849,1302,2021-09-03,日照影山
79,【华纳天碟 · 真经典】HiFi品质收藏,334133,502,2021-09-03,日照影山
80,华纳白金经典全套 | 精选HiFi人声,327122,543,2021-09-03,日照影山
81,『情歌时光机』让你瞬间重返80年代,5441526,2552,2021-09-02,卧马横刀
82,「经典老歌」光阴疾似箭，不敢度韶华,4442662,2628,2021-09-02,朝露昙花
83,深情粤语｜似水流年，天老歌不老,2630271,1189,2021-09-02,恋恋天使心
84,漫长岁月成就经典老歌 | 英文篇,643050,742,2021-09-01,梦颜Amor°
